feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
ciudad_Venus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Dover,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Fort Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Madison,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Palmetto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Baker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Haines City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Anthony,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Laurel Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_13y1oo Watersound,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Everglades City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Briny Breezes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Florahome,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Wauchula,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lulu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Grassy Key,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Matlacha Isles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cape San Blas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Marathon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
